esg_id,branch_id,reporting_month,energy_bill,energy_kwh,fuel_litres,paper_reams,waste_kg,water_litres,training_hours,complaints_count
1,38,2023-01-01,150644.66,35281.42,632.62,1741.62,1232.88,93667.87,20.2,19
2,33,2023-01-02,106608.29,15163.19,2509.22,601.66,2697.03,61810.6,339.44,48
3,16,2023-01-03,60251.87,42568.3,9172.32,1130.78,266.35,14862.53,56.64,42
4,13,2023-01-04,179286.9,20670.05,3885.64,1845.47,3845.15,41022.93,422.52,15
5,27,2023-01-05,152174.87,15185.43,500.21,1105.9,4132.21,68836.05,95.66,37
6,4,2023-01-06,76269.38,22817.04,8158.61,829.47,150.85,71303.49,487.36,39
7,13,2023-01-07,187332.04,16365.81,824.77,1304.81,1109.26,1839.0,78.55,44
8,3,2023-01-08,158072.23,13886.42,5085.48,1619.36,4524.06,64631.25,174.77,27
9,21,2023-01-09,84984.15,8923.36,2523.93,912.78,4695.13,45419.67,57.97,37
10,49,2023-01-10,154958.62,18407.29,7688.32,812.08,273.59,44543.49,278.19,42
11,7,2023-01-11,186863.8,14930.65,4298.61,1632.7,3871.78,27648.13,396.76,9
12,47,2023-01-12,82877.83,11344.01,3332.38,433.65,460.09,6197.4,146.98,9
13,44,2023-01-13,91606.83,18403.07,6660.35,1608.5,2954.69,65200.87,249.25,13
14,17,2023-01-14,61981.48,35678.14,7219.19,369.93,4443.87,26644.43,103.42,8
15,4,2023-01-15,72598.7,37142.91,8964.63,1630.41,3517.38,15641.56,236.98,40
16,21,2023-01-16,16943.1,35181.66,2814.0,1257.69,4835.37,31654.56,465.34,31
17,10,2023-01-17,152448.52,4636.63,485.58,1708.9,3655.85,46815.12,298.35,0
18,21,2023-01-18,67852.99,3919.62,8436.23,549.57,4668.95,15645.4,436.74,20
19,39,2023-01-19,72189.4,39734.35,2146.06,929.05,402.93,14944.08,416.74,20
20,27,2023-01-20,75777.81,11625.15,5592.11,1433.61,497.2,47275.68,185.33,49
21,47,2023-01-21,169311.13,43991.87,4640.19,1538.8,1765.24,17759.3,447.49,28
22,27,2023-01-22,93474.18,22185.17,3848.05,1877.46,193.23,55503.12,43.59,30
23,49,2023-01-23,20444.28,38905.14,4757.06,1134.75,4724.7,53249.21,471.75,19
24,2,2023-01-24,82476.45,17609.53,7460.99,1142.38,4951.92,20370.59,468.67,4
25,38,2023-01-25,173334.41,8561.62,6213.23,97.36,4095.8,71527.83,287.22,30
26,30,2023-01-26,72378.58,27425.2,6129.58,1851.38,3120.62,8449.81,147.76,5
27,45,2023-01-27,141880.51,7701.74,161.47,1564.53,2217.59,72202.78,207.41,44
28,31,2023-01-28,176671.96,19038.6,8908.49,1435.43,1414.81,49653.98,261.17,35
29,15,2023-01-29,85506.46,4238.36,9206.35,1776.74,459.63,54627.93,415.73,21
30,49,2023-01-30,40359.85,16600.81,2861.28,1120.48,417.96,62194.53,192.65,14
31,40,2023-01-31,164516.23,22346.76,8122.15,696.67,1597.02,53376.61,464.84,27
32,13,2023-02-01,170621.37,30331.37,3621.52,1035.9,4358.71,10947.29,25.79,37
33,26,2023-02-02,166553.49,43364.79,8321.31,1763.31,4068.79,79791.77,368.7,2
34,45,2023-02-03,125416.91,29626.1,9586.79,599.24,3400.62,96594.41,3.51,23
35,36,2023-02-04,137617.2,40211.46,673.73,1767.93,633.79,64313.85,348.64,33
36,21,2023-02-05,131274.75,28688.58,1544.84,986.14,2441.52,67525.84,3.16,45
37,42,2023-02-06,27628.99,49508.18,3372.11,1902.02,4771.44,89085.54,10.19,4
38,36,2023-02-07,12178.73,48343.67,695.66,1209.3,4434.91,13441.92,205.32,43
39,19,2023-02-08,72402.89,4436.38,3740.17,912.01,4185.49,60911.99,37.51,2
40,12,2023-02-09,175703.92,17155.09,960.57,1552.98,3284.89,10108.09,34.85,44
41,15,2023-02-10,175966.9,20068.46,7284.94,1125.42,3992.36,62679.51,322.05,7
42,50,2023-02-11,146630.37,43917.41,7740.18,1613.05,591.02,77265.34,377.2,14
43,2,2023-02-12,135168.42,1978.1,7879.76,796.54,322.39,48993.45,164.41,3
44,37,2023-02-13,109145.9,34425.62,554.41,376.52,4186.61,81418.05,475.9,13
45,23,2023-02-14,141441.87,14782.16,2434.52,189.13,313.59,19733.72,105.09,37
46,31,2023-02-15,22640.6,29687.35,7921.72,1479.06,2606.31,78672.61,343.79,0
47,22,2023-02-16,62745.01,29284.13,4749.97,1938.87,3133.52,52589.53,80.53,41
48,23,2023-02-17,81283.3,18278.65,4596.54,1569.92,1192.37,44441.98,341.02,49
49,50,2023-02-18,195813.77,14224.69,5624.45,500.53,93.51,72186.69,91.33,3
50,50,2023-02-19,28305.24,2537.92,5767.24,197.39,739.15,45432.84,294.71,39
51,40,2023-02-20,192721.83,31318.75,6701.71,808.0,1077.66,82417.24,398.49,21
52,12,2023-02-21,177004.26,34050.01,4659.5,1125.19,2519.61,25859.96,63.75,46
53,46,2023-02-22,61334.02,39355.71,2439.93,462.4,3803.11,88422.58,418.33,10
54,32,2023-02-23,127017.39,40766.23,5033.96,1936.99,757.29,38797.55,85.25,33
55,38,2023-02-24,45053.88,48700.71,8486.44,278.66,3958.73,29904.48,113.38,22
56,20,2023-02-25,79990.34,46006.32,6681.45,330.81,1935.62,26833.45,20.45,48
57,25,2023-02-26,51665.21,20000.91,1161.88,1484.83,4639.94,75745.52,318.76,13
58,23,2023-02-27,139488.84,11759.98,6899.58,1299.48,4819.18,59966.38,486.54,11
59,23,2023-02-28,31060.03,22830.24,5515.89,1990.08,3270.1,57400.55,345.59,9
60,6,2023-03-01,83846.62,8611.43,7018.26,1678.92,3573.56,1629.68,200.74,39
61,9,2023-03-02,65571.4,45137.79,897.12,1976.19,3358.0,58467.49,400.76,4
62,2,2023-03-03,81870.14,3250.35,911.08,820.3,3964.59,59008.56,43.87,19
63,38,2023-03-04,94589.24,2462.91,5332.02,1525.52,1319.98,55502.37,223.95,38
64,47,2023-03-05,15062.66,38126.38,4974.49,1270.87,1058.7,92238.99,340.41,15
65,3,2023-03-06,14340.54,42112.56,6099.19,846.37,2155.49,74383.56,71.91,37
66,42,2023-03-07,63924.04,38902.5,3652.37,1382.13,4000.46,91288.66,334.08,31
67,10,2023-03-08,26506.57,13677.3,5059.72,618.3,2590.02,53517.13,223.89,47
68,35,2023-03-09,104684.25,7390.31,4685.41,181.21,1455.14,58240.81,57.02,21
69,46,2023-03-10,123599.38,19642.11,7809.93,622.52,1943.47,35217.13,262.46,37
70,31,2023-03-11,65928.17,23721.98,4030.57,990.45,1749.17,23293.83,41.24,36
71,21,2023-03-12,140897.4,43105.73,9650.07,1921.12,1655.95,46330.34,339.57,9
72,19,2023-03-13,168322.39,4769.66,3838.3,1554.89,545.48,49394.18,240.28,37
73,18,2023-03-14,132091.85,21423.09,1046.91,600.92,1664.9,9406.17,172.58,9
74,33,2023-03-15,193081.22,9271.22,7312.22,1382.7,2124.04,20350.86,450.73,30
75,2,2023-03-16,102674.45,36987.7,3829.58,521.74,3634.38,87323.54,474.97,43
76,21,2023-03-17,25398.77,41114.6,9326.85,962.86,280.66,87470.1,495.74,1
77,41,2023-03-18,138564.48,33018.02,4913.88,1752.05,610.01,45974.59,499.14,46
78,5,2023-03-19,69546.0,38508.93,4017.73,1208.48,1738.93,59634.58,451.34,40
79,11,2023-03-20,121462.99,37443.15,3065.88,1076.37,2176.91,89994.39,370.75,26
80,30,2023-03-21,35311.05,5822.67,4668.32,911.37,4763.12,65740.71,303.84,35
81,39,2023-03-22,39418.68,19476.48,3103.49,1134.06,264.38,91308.49,205.75,48
82,41,2023-03-23,81667.61,28988.99,6902.42,308.66,4444.11,80964.98,424.26,17
83,4,2023-03-24,89503.69,5579.15,1908.66,308.52,585.09,80390.59,4.95,16
84,48,2023-03-25,53024.61,38970.19,1034.26,1720.77,3146.29,40006.49,188.65,25
85,37,2023-03-26,191090.04,11853.02,2416.51,1997.64,3316.87,19077.01,204.63,25
86,33,2023-03-27,133843.34,22073.71,8534.42,1140.2,3556.75,44958.48,437.29,13
87,37,2023-03-28,182019.89,12450.04,3318.11,263.17,2615.98,57683.7,31.6,39
88,50,2023-03-29,131765.87,44884.82,1320.04,559.34,128.27,94554.24,450.85,1
89,22,2023-03-30,81849.57,9965.05,9713.81,770.58,535.33,1098.19,93.78,18
90,39,2023-03-31,45190.16,14185.1,1955.29,980.23,3494.44,33842.43,113.97,37
